SCHOOL,CLASS,CHILD,COMBI,SIZE,SSES,GIRL,MINORITY,SITTERS,CSES,IQV,IQP,PRE_LANG,POST_LANG,PRE_ARITH,POST_ARITH
1,180,1,0,29,11,1,1,0,10,10.5,7.3333333333,33,,10,12
1,180,2,0,29,11,1,1,0,,14,14.333333333,44,50,18,30
1,180,3,0,29,11,0,0,0,23,15,12.329999924,36,46,14,24
1,180,4,0,29,11,0,1,0,10,14.5,10,36,45,12,19
1,180,5,0,29,11,0,0,0,15,9.5,11,33,33,10,24
1,180,6,0,29,11,0,0,0,23,11,10,29,46,13,26
1,180,7,0,29,11,0,0,0,10,8,6.6659998894,19,20,8,9
1,180,8,0,29,11,0,1,0,10,9.5,9,22,30,8,13
1,180,9,0,29,11,0,1,0,23,9.5,10.329999924,20,30,7,13
1,180,10,0,29,11,0,0,0,10,13,14.329999924,44,57,17,30
1,180,11,0,29,11,0,1,1,13,9.5,8.6660003662,34,36,10,23
1,180,12,0,29,11,0,1,0,15,11,15,31,36,14,22
1,180,13,0,29,11,1,1,0,10,5.5,9,18,29,11,19
1,180,14,0,29,11,0,0,0,18,14,9.3330001831,36,40,10,23
1,180,15,0,29,11,0,1,0,15,9,9,31,41,10,18
1,180,16,0,29,11,0,1,0,20,10.5,13,34,47,12,22
1,180,17,0,29,11,0,1,0,10,10,8.6660003662,31,33,9,15
1,180,18,0,29,11,0,0,0,20,11,12.329999924,32,37,13,21
1,180,19,0,29,11,1,0,0,13,6.5,7.3330001831,23,29,9,13
1,180,20,0,29,11,1,1,1,10,4,9.3330001831,20,26,9,12
1,180,21,0,29,11,1,1,0,10,11,6.6659998894,27,37,7,11
1,180,22,0,29,11,1,1,0,15,11,11,31,40,16,23
1,180,23,0,29,11,1,0,1,10,11,11,24,27,16,17
1,180,24,0,29,11,1,0,0,13,12.5,10,35,43,9,16
1,180,25,0,29,11,1,1,0,10,11.5,11,32,39,14,24
1,180,26,0,29,11,1,1,0,10,10,6.6659998894,25,21,12,16
1,180,27,0,29,11,1,1,0,10,10,9.3330001831,33,42,17,11
2,280,28,1,19,11,1,0,1,15,11.5,7.3330001831,22,21,3,6
2,280,29,1,19,11,0,0,0,15,10.5,9.3330001831,33,27,4,8
2,280,30,1,19,11,0,0,0,20,8,9.3330001831,22,16,11,9
2,280,31,1,19,11,1,0,1,15,7.5,7.6659998894,25,31,9,9
2,280,32,1,19,11,0,1,1,10,7.5,11.329999924,27,21,11,18
2,280,33,1,19,11,1,0,0,23,6.5,6.6659998894,23,18,9,5
2,280,34,1,19,11,0,0,0,10,11.5,12.659999847,30,32,10,9
3,380,35,1,28,18,1,0,0,32,14.5,8.6666666667,23,,2,
3,380,36,1,28,18,1,0,0,34,14,11.333333333,37,50,3,26
3,380,37,1,28,18,1,0,1,14,9,8.6666666667,23,25,6,8
3,380,38,1,28,18,1,0,0,35,10.5,11.666666667,35,38,8,12
3,380,39,1,28,18,0,0,0,22,9.5,11.666666667,25,33,9,21
3,380,40,1,28,18,0,0,0,37,11,8.3333333333,37,41,10,14
3,380,41,1,28,18,1,0,0,26,11.5,9,32,41,10,15
3,380,42,1,28,18,1,0,0,20,10.5,9.3333333333,32,39,10,17
3,380,43,1,28,18,1,0,0,40,13,12.333333333,41,52,15,28
5,580,44,0,21,13,0,1,1,18,5,10.333333333,15,,5,
5,580,45,0,21,13,1,0,0,21,7.5,7.6666666667,21,,5,
5,580,46,0,21,13,1,0,0,21,11.5,12,25,,5,
5,580,47,0,21,13,1,0,0,,9.5,5.3333333333,24,,6,
5,580,48,0,21,13,0,1,0,,7.5,9.6666666667,24,,6,
5,580,49,0,21,13,1,0,1,20,7,7.6666666667,17,,7,
5,580,50,0,21,13,0,1,0,11,6,10,17,,7,
5,580,51,0,21,13,0,1,2,18,7.5,5.6666666667,21,,7,
5,580,52,0,21,13,0,1,0,19,12.5,8,36,,7,
5,580,53,0,21,13,1,1,0,,7.5,11.333333333,15,,8,
5,580,54,0,21,13,0,1,1,18,7,8.3333333333,16,,8,
5,580,55,0,21,13,1,1,0,21,6.5,9.6666666667,21,,8,
5,580,56,0,21,13,0,1,0,19,10,8.6666666667,25,,8,
5,580,57,0,21,13,1,0,0,17,9.5,10,32,,8,
5,580,58,0,21,13,0,1,0,12,6.5,5.3333333333,19,,10,
5,580,59,0,21,13,1,1,0,19,8.5,11.333333333,36,,11,
5,580,60,0,21,13,1,1,0,32,10.5,11.666666667,31,,12,
5,580,61,0,21,13,1,1,0,30,14.5,16,43,,16,
6,680,62,1,30,22,0,0,0,43,15.5,11.666666667,37,,9,
6,680,63,1,30,22,1,0,0,49,14.5,11.333333333,47,,11,
6,680,64,1,30,22,1,0,0,19,10.5,7,28,,12,
6,680,65,1,30,22,0,0,0,46,13.5,8,34,,12,
6,680,66,1,30,22,1,0,0,47,15,10.666666667,39,,12,
6,680,67,1,30,22,0,0,0,43,15,9,43,,13,
6,680,68,1,30,22,1,0,0,26,15,11.333333333,29,,14,
6,680,69,1,30,22,1,0,0,26,11,7.6666666667,34,,14,
6,680,70,1,30,22,1,0,0,49,12.5,11,35,,14,
6,680,71,1,30,22,0,0,0,23,16,10.333333333,36,,14,
6,680,72,1,30,22,1,0,0,44,13,10,37,,14,
6,680,73,1,30,22,1,0,0,37,11.5,9,38,,14,
6,680,74,1,30,22,1,0,0,43,13,11,45,,14,
6,680,75,1,30,22,1,0,0,37,12.5,10,40,,15,
6,680,76,1,30,22,0,0,0,32,13,14.333333333,42,,15,
6,680,77,1,30,22,1,0,0,20,11,10.333333333,32,,16,
6,680,78,1,30,22,1,0,0,29,13,12,38,,16,
6,680,79,1,30,22,,0,0,37,16,8.6666666667,45,,16,
6,680,80,1,30,22,1,0,0,37,14.5,13,37,,17,
9,982,92,0,23,,0,0,1,21,11,13.666666667,24,34,4,17
9,982,93,0,23,,0,0,0,33,13.5,14,23,34,9,20
9,982,94,0,23,,0,0,0,25,11,13,25,43,9,28
9,982,95,0,23,,1,0,0,28,13,12.333333333,29,40,10,13
9,982,96,0,23,,0,0,0,41,12.5,13.666666667,42,48,13,22
9,982,97,0,23,,0,0,1,23,13,14.333333333,27,46,13,24
9,982,98,0,23,,0,0,1,32,10.5,12.666666667,21,45,14,22
9,982,99,0,23,,0,0,0,43,14,14.666666667,39,55,15,27
9,982,100,0,23,,1,0,0,40,13.5,9.6666666667,34,53,15,30
9,982,101,0,23,,0,0,0,20,14.5,14,36,46,16,29
9,982,102,0,23,,0,0,0,34,14,12.666666667,44,56,16,30
10,1082,109,1,25,15,0,0,0,15,10.5,8.6660003662,26,28,5,14
10,1082,110,1,25,15,0,0,0,20,10.5,12,25,33,11,22
10,1082,111,1,25,15,1,0,0,20,12.5,7.3330001831,31,38,10,17
10,1082,112,1,25,15,1,0,0,10,8,9,20,14,6,8
10,1082,113,1,25,15,1,0,0,33,11,8.3330001831,30,39,8,10
11,1181,114,0,28,17,1,1,0,11,4,6.6666666667,,,,
11,1181,115,0,28,17,0,0,0,28,12,12,,,,
11,1181,116,0,28,17,0,0,0,11,12,8,28,,3,
11,1181,117,0,28,17,1,0,0,11,7.5,9,19,,4,
11,1181,118,0,28,17,0,0,0,11,6,7,21,,4,
11,1181,119,0,28,17,1,0,0,17,11,12.333333333,39,,5,
11,1181,120,0,28,17,1,0,0,15,11,7.3333333333,29,,6,
11,1181,121,0,28,17,0,0,0,11,12.5,12.333333333,33,,6,
11,1181,122,0,28,17,0,0,1,13,9,7.6666666667,20,,7,
11,1181,123,0,28,17,0,1,0,12,10,8,24,,7,
11,1181,124,0,28,17,1,0,0,19,11,8.6666666667,26,,7,
11,1181,125,0,28,17,0,0,0,38,11,13,28,,7,
11,1181,126,0,28,17,0,1,1,13,11.5,7.6666666667,33,,7,
11,1181,127,0,28,17,1,0,0,11,12,9.3333333333,34,,7,
11,1181,128,0,28,17,0,0,0,11,6,10,18,,8,
11,1181,129,0,28,17,1,0,0,22,13,9.3333333333,41,,8,
11,1181,130,0,28,17,1,0,1,12,7.5,8.3333333333,20,,9,
11,1181,131,0,28,17,1,0,0,11,11,8,35,,9,
11,1181,132,0,28,17,1,0,0,28,11.5,8.3333333333,30,,10,
11,1181,133,0,28,17,0,0,0,19,15,7.3333333333,38,,10,
11,1181,134,0,28,17,0,0,0,11,13,15,40,,12,
11,1181,135,0,28,17,0,0,0,17,10,13.666666667,30,,13,
11,1181,136,0,28,17,1,0,0,11,12,10.666666667,40,,13,
11,1181,137,0,28,17,0,0,0,28,16.5,13.333333333,39,,16,
11,1181,138,0,28,17,1,0,0,49,15,14.333333333,43,,19,
12,1280,144,1,31,20,1,0,0,23,11.5,8.6666666667,32,39,8,
12,1280,145,1,31,20,0,0,0,41,9,10.333333333,21,,12,
12,1280,146,1,31,20,0,0,0,27,9.5,9.6660003662,23,23,8,15
12,1280,147,1,31,20,1,0,0,33,10.5,11.329999924,33,43,10,16
12,1280,148,1,31,20,1,0,0,33,8.5,12,18,25,7,5
12,1280,149,1,31,20,1,0,0,28,7.5,7.3330001831,25,24,6,3
12,1280,150,1,31,20,1,0,0,37,11,10.329999924,37,41,8,5
12,1280,151,1,31,20,0,0,0,30,10.5,12.329999924,20,32,11,18
12,1280,152,1,31,20,0,0,0,20,10.5,8.3330001831,28,26,9,8
12,1280,153,1,31,20,0,0,0,40,9.5,9.3330001831,30,21,9,11
12,1280,154,1,31,20,0,0,0,20,10,11.659999847,29,37,9,10
12,1280,155,1,31,20,1,0,0,17,11.5,11.329999924,23,30,11,12
12,1280,156,1,31,20,1,0,0,20,9.5,9.6660003662,33,41,9,6
12,1280,157,1,31,20,1,0,0,50,9,8,25,31,10,5
12,1280,158,1,31,20,1,0,0,20,8,7.6659998894,21,27,8,10
12,1280,159,1,31,20,1,0,0,27,7.5,7,29,33,9,9
12,1280,160,1,31,20,1,0,0,40,8.5,6.3330001831,27,29,6,11
13,1380,161,1,25,20,1,0,0,23,12,10,30,42,7,9
13,1380,162,1,25,20,0,0,1,31,11.5,8.3333333333,21,37,8,20
13,1380,163,1,25,20,1,0,0,47,17,10.333333333,41,49,9,27
13,1380,164,1,25,20,0,0,0,24,13,12.666666667,27,39,11,24
13,1380,165,1,25,20,1,0,0,20,11.5,11.666666667,32,32,12,22
13,1380,166,1,25,20,1,0,0,38,15.5,11.666666667,38,50,12,23
13,1380,167,1,25,20,0,0,0,37,14.5,13.333333333,34,45,12,24
13,1380,168,1,25,20,0,0,0,28,16,13.333333333,30,43,14,24
13,1380,169,1,25,20,1,0,0,24,14.5,10,36,54,14,26
13,1380,170,1,25,20,1,0,0,38,12,13.333333333,36,50,14,28
13,1380,171,1,25,20,0,0,0,44,13,13.333333333,38,47,14,29
13,1380,172,1,25,20,0,0,0,30,12,11.666666667,31,52,15,24
13,1380,173,1,25,20,1,0,0,44,17,13.666666667,40,51,15,29
13,1380,174,1,25,20,1,0,0,40,15.5,13.333333333,45,54,18,30
14,1480,175,0,24,,1,0,0,36,12.5,14.333333333,36,43,7,23
14,1480,176,0,24,,0,0,0,23,9.5,9.6666666667,26,,8,
14,1480,177,0,24,,0,1,1,12,11.5,9.3333333333,29,22,8,11
14,1480,178,0,24,,1,0,1,30,14,12.333333333,33,26,8,16
14,1480,179,0,24,,0,0,0,41,12,7,35,38,9,16
14,1480,180,0,24,,0,1,1,45,9.5,7,23,32,10,14
14,1480,181,0,24,,1,0,0,28,14,8.6666666667,34,40,10,21
14,1480,182,0,24,,1,0,0,41,13,8.6666666667,35,38,10,23
14,1480,183,0,24,,0,0,0,41,13,11.666666667,31,35,10,27
14,1480,184,0,24,,1,0,0,36,12,8,26,32,11,9
14,1480,185,0,24,,1,0,0,28,12,7.6666666667,37,35,11,17
14,1480,186,0,24,,1,0,0,41,12.5,9,35,37,11,18
14,1480,187,0,24,,1,0,0,32,12.5,10,,31,12,15
14,1480,188,0,24,,0,0,0,36,10.5,8,35,27,12,15
14,1480,189,0,24,,0,0,0,36,12.5,13.666666667,34,37,13,21
14,1480,190,0,24,,1,0,0,41,13.5,12.666666667,42,51,13,29
14,1480,191,0,24,,0,0,0,41,13,12,35,42,14,24
14,1480,192,0,24,,0,0,0,41,17,12.333333333,35,45,14,24
14,1480,193,0,24,,0,0,0,41,14,12.333333333,37,36,15,23
14,1480,194,0,24,,1,0,0,41,16,10.666666667,36,54,16,27
14,1480,195,0,24,,1,0,0,49,13,15.333333333,33,42,17,22
14,1480,196,0,24,,,0,0,41,15,14,39,51,18,28
14,1480,197,0,24,,0,0,0,41,17,14.333333333,41,43,19,28
15,1580,198,1,35,18,1,0,0,,8.5,7,24,23,9,6
15,1580,199,1,35,18,0,0,0,40,14,8.3330001831,36,31,11,13
15,1580,200,1,35,18,0,0,0,20,8.5,7.3330001831,18,18,5,9
15,1580,201,1,35,18,0,0,1,40,13,15.329999924,30,37,9,18
15,1580,202,1,35,18,1,0,1,25,10.5,10.659999847,35,22,5,11
15,1580,203,1,35,18,1,0,0,20,15,9.6660003662,38,43,16,20
15,1580,204,1,35,18,1,0,0,30,9,6.3330001831,15,9,4,6
15,1580,205,1,35,18,0,0,0,30,10,15,36,41,18,19
15,1580,206,1,35,18,0,0,0,20,12,12.659999847,37,46,3,24
16,1680,207,1,28,13,0,0,0,31,12.5,10.333333333,42,,11,
16,1680,208,1,28,13,0,0,1,23,11,12,31,34,14,18
16,1680,209,1,28,13,1,0,0,33,11,11.659999847,40,47,12,23
16,1680,210,1,28,13,0,0,0,27,12.5,9.6660003662,32,44,14,23
16,1680,211,1,28,13,0,0,0,27,13,16.329999924,44,50,15,22
16,1680,212,1,28,13,0,0,0,23,12.5,11.659999847,44,45,7,21
16,1680,213,1,28,13,1,0,0,30,11,9.6660003662,41,43,12,14
16,1680,214,1,28,13,0,0,0,35,11.5,6.6659998894,32,34,7,8
16,1680,215,1,28,13,0,0,0,37,11,9.6660003662,32,35,16,19
18,1880,216,0,28,20,1,0,0,39,10.5,10.333333333,25,,9,
